,trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,route_id,service_id,trip_headsign,direction_id,block_id,shape_id
0,t214C-sl2-p6A5-r21,24000.0,24000.0,961,0,,,,0.0,1,35,2,Route 14/blue,1,141,1701_shp
1,t214C-sl2-p6A5-r21,24131.0,24131.0,882,131,,,,2050.476962,0,35,2,Route 14/blue,1,141,1701_shp
2,t214C-sl2-p6A5-r21,24205.0,24205.0,1048,205,,,,3070.994233,0,35,2,Route 14/blue,1,141,1701_shp
3,t214C-sl2-p6A5-r21,24282.0,24282.0,1049,282,,,,3896.840642,0,35,2,Route 14/blue,1,141,1701_shp
4,t214C-sl2-p6A5-r21,24346.0,24346.0,883,346,,,,4593.811113,0,35,2,Route 14/blue,1,141,1701_shp
5,t214C-sl2-p6A5-r21,24440.0,24440.0,873,440,,,,5629.223987,0,35,2,Route 14/blue,1,141,1701_shp
6,t214C-sl2-p6A5-r21,24466.0,24466.0,874,466,,,,6044.487291,0,35,2,Route 14/blue,1,141,1701_shp
7,t214C-sl2-p6A5-r21,24510.0,24510.0,875,510,,,,6472.600956,0,35,2,Route 14/blue,1,141,1701_shp
8,t214C-sl2-p6A5-r21,24600.0,24600.0,170,600,,,,7405.105542,1,35,2,Route 14/blue,1,141,1701_shp
9,t214C-sl2-p6A5-r21,24684.0,24684.0,293,684,,,,8781.064016,0,35,2,Route 14/blue,1,141,1701_shp
10,t214C-sl2-p6A5-r21,24814.0,24814.0,1050,814,,,,10461.711692,0,35,2,Route 14/blue,1,141,1701_shp
11,t214C-sl2-p6A5-r21,24883.0,24883.0,1051,883,,,,11965.731805,0,35,2,Route 14/blue,1,141,1701_shp
12,t214C-sl2-p6A5-r21,24978.0,24978.0,1052,978,,,,13258.733606,0,35,2,Route 14/blue,1,141,1701_shp
13,t214C-sl2-p6A5-r21,25020.0,25020.0,891,1020,,,,13827.441086,1,35,2,Route 14/blue,1,141,1701_shp
14,t214C-sl2-p6A5-r21,25090.0,25090.0,168,1090,,,,14986.248848,0,35,2,Route 14/blue,1,141,1701_shp
15,t214C-sl2-p6A5-r21,25189.0,25189.0,715,1189,,,,15771.916965,0,35,2,Route 14/blue,1,141,1701_shp
16,t214C-sl2-p6A5-r21,25312.0,25312.0,887,1312,,,,16960.698013,0,35,2,Route 14/blue,1,141,1701_shp
17,t214C-sl2-p6A5-r21,25440.0,25440.0,961,1440,,,,19860.398267,1,35,2,Route 14/blue,1,141,1701_shp
